SentenceNumber,Word,totalReadingTime
42,"acestea,",433
42,Washingtonul,1181
42,a,124
42,devenit,632
42,foarte,334
42,îngrijorat,989
42,de,373
42,faptul,311
42,că,61
42,partidele,1214
42,sfârșitul,695
42,"Franța,",421
42,câștiga,644
42,ar,255
42,locale,1231
42,comuniste,951
42,putea,369
42,puterea,616
42,în,123
42,Italia,433
42,și,60
42,Grecia,490
42,la,123
42,anilor,584
42,postbelice,750
42,europene,1327
42,economiei,912
42,precară,1526
42,starea,575
42,vedere,830
42,având,562
42,"1940,",1637
42,apropierea,2039
42,Uniunii,628
42,Sovietice.,310
,,
43,După,550
43,"război,",317
43,Hitler,367
43,a,66
43,rămas,392
43,în,100
43,armată,373
43,"și,",122
43,după,309
43,ce,124
43,primit,495
43,cursuri,681
43,informații,724
43,partidele,564
43,infiltrarea,749
43,însărcinat,1544
43,"oratorie,",1305
43,devenit,367
43,ofițer,399
43,de,501
43,cu,184
43,politice,1349
43,raportarea,620
43,către,247
43,superiorii,616
43,săi,184
43,privire,367
43,la,63
43,activitățile,555
43,acestora.,678
,,
44,În,1216
44,aceste,333
44,"cazuri,",1007
44,rolul,369
44,agentului,668
44,de,229
44,punere,1211
44,în,124
44,aplicare,1046
44,este,306
44,a,185
44,furniza,491
44,inputurile,1115
44,"inclusiv,",492
44,"bază,",557
44,dar,215
44,"numai,",1813
44,capitalul,739
44,care,435
44,va,167
44,da,368
44,startul,442
44,proiectului,685
44,și,232
44,permite,560
44,plecarea,680
44,după,559
44,impuls,1152
44,propriul,1463
44,continue,783
44,să,247
44,acestuia,742
44,sub,250
44,aplicare.,433
,,
45,În,435
45,"general,",1220
45,le,100
45,este,600
45,mai,294
45,bine,309
45,să,60
45,își,123
45,folosească,805
45,"Ne-ul,",1914
45,precum,450
45,și,293
45,capacitățile,932
45,de,494
45,ale,1174
45,raționament,934
45,lui,1026
45,"Ti,",101
45,pentru,800
45,a,65
45,afla,407
45,"adevărul,",682
45,decât,499
45,se,62
45,bazeze,309
45,pe,184
45,tradițiile,1049
45,Si.,399
,,
46,Este,248
46,posibil,494
46,ca,51
46,unele,51
46,părți,667
46,să,547
46,nu,186
46,fie,187
46,consumate,1686
46,"niciodată,",801
46,iar,768
46,altele,526
46,sunt,249
46,procesate,862
46,suplimentare,1890
46,mod,638
46,în,124
46,normal,599
46,și,201
46,carne,818
46,cușer,682
46,Statele,684
46,"Unite,",391
46,din,168
46,cauza,282
46,muncii,499
46,care,372
46,implică.,372
,,
47,Două,699
47,sau,547
47,mai,284
47,multe,383
47,state,356
47,nu,184
47,vor,372
47,încheia,497
47,niciun,557
47,"tratat,",300
47,confederație,783
47,alianță,699
47,între,436
47,"reunit,",743
47,și,123
47,se,374
47,"ele,",620
47,fără,247
47,consimțământul,2901
47,Statelor,818
47,Unite,715
47,în,186
47,Congresul,1663
47,specificând,983
47,cu,102
47,exactitate,1624
47,acestuia.,868
47,durata,822
47,încheie,870
47,pentru,1158
47,scopurile,1188
47,care,538
47,de,280
47,valabilitate,951
47,a,51
,,
48,Până,232
48,la,384
48,începutul,500
48,secolului,1137
48,al,435
48,"XIX-lea,",1011
48,naturaliștii,1033
48,și,168
48,oamenii,794
48,de,122
48,știință,619
48,au,61
48,observat,614
48,cei,344
48,proveneau,593
48,între,592
48,esențiale,1072
48,diferențe,749
48,compușii,740
48,care,482
48,din,218
48,ființe,383
48,vii,448
48,nu,1291
48,vii.,167
,,
49,A,151
49,avut,318
49,un,525
49,dosar,432
49,de,165
49,serviciu,1555
49,exemplar,652
49,și,247
49,a,125
49,primit,574
49,prestigioasa,1060
49,Cruce,310
49,"Fier,",310
49,atât,767
49,clasa,335
49,cât,701
49,"II-a,",308
49,"obținut,",494
49,"asemenea,",432
49,gradul,475
49,caporal.,334
,,
50,În,268
50,etapa,414
50,"finală,",812
50,unul,123
50,dintre,557
50,hidrogenii,1113
50,moleculei,1429
50,de,681
50,apă,234
50,legată,1198
50,este,244
50,atacat,554
50,o,167
50,altă,751
50,moleculă,1258
50,"apă,",246
50,lăsând,430
50,un,668
50,alcool.,333
,,
51,Este,805
51,important,435
51,ca,310
51,atunci,739
51,când,316
51,planificați,783
51,o,101
51,lecție,490
51,de,183
51,învățare,685
51,mixtă,554
51,în,187
51,clasele,433
51,primare,1183
51,vă,173
51,să,115
51,concentrați,680
51,pe,186
51,unitate,309
51,"studiu,",514
51,apoi,334
51,împletiți,650
51,cu,115
51,tehnologia.,831
,,
52,Cele,246
52,mai,186
52,multe,372
52,interogări,927
52,DNS,496
52,(cum,556
52,fi,185
52,cererile,559
52,de,746
52,rezolvare,572
52,a,284
52,numelui),881
52,utilizează,672
52,"mică,",646
52,sarcină,1123
52,deoarece,680
52,"UDP,",757
52,conexiuni,1601
52,cantitatea,1767
52,date,874
52,transferate,685
52,este,217
52,iar,282
52,stabilirea,1051
52,nume.,1481
52,sesiunii,1114
52,ar,151
52,introduce,583
52,un,217
52,trafic,398
52,și,186
52,o,123
52,inutile,2381
52,asupra,764
52,serverelor,744
,,
53,Unii,851
53,elevi,352
53,consideră,625
53,că,248
53,ablativul,685
53,este,184
53,"dificil,",434
53,deoarece,495
53,uneori,494
53,seamănă,492
53,cu,309
53,nominativul,1367
53,"singular,",818
53,dativul,370
53,plural,310
53,sau,309
53,niciunul,375
53,dintre,308
53,acestea.,233
53,sămânța.,233
,,
54,La,351
54,multe,266
54,specii,526
54,"anuale,",681
54,în,123
54,condiții,678
54,nefavorabile,942
54,de,168
54,uscăciune,483
54,sau,215
54,"frig,",117
54,există,350
54,doar,929
54,sămânța.,802
,,
55,Cu,300
55,toate,217
55,"acestea,",415
55,ploile,530
55,abundente,739
55,și,185
55,persistente,1590
55,furtunile,833
55,pot,235
55,provoca,663
55,inundații,1470
55,ploi.,735
55,cauzată,783
55,gravă,1317
55,înnămolire,1332
55,a,124
55,"solului,",493
55,precum,494
55,eroziune,1106
55,de,311
,,
56,Pierderea,1148
56,în,101
56,greutate,282
56,necesită,434
56,ca,116
56,aportul,481
56,de,1049
56,calorii,496
56,să,51
56,fie,116
56,mai,125
56,mic,495
56,decât,184
56,producția,522
56,"calorii,",961
56,deși,248
56,niciuna,310
56,dintre,310
56,acestea,185
56,nu,61
56,trebuie,725
56,făcută,350
56,la,51
56,extrem.,283
,,
57,Printre,642
57,aceste,744
57,tehnologii,866
57,se,249
57,număra,1495
57,fisiunea,1700
57,"nucleară,",1266
57,care,249
57,constă,382
57,în,215
57,divizarea,1060
57,unui,497
57,zece,887
57,atom,1090
57,foarte,367
57,electronegativ,4049
57,atomi,368
57,mai,402
57,mici,415
57,și,125
57,produce,682
57,energie,679
57,de,284
57,ori,499
57,mare.,595
,,
58,Majoritatea,1753
58,algelor,1134
58,"marine,",317
58,cum,126
58,ar,310
58,fi,61
58,kelps,990
58,(alge,184
58,brune,370
58,foarte,755
58,mari,152
58,din,249
58,ordinul,599
58,"superficiale,",796
58,unei,949
58,ciuda,623
58,"Laminariales),",1934
58,în,126
58,aparențe,1360
58,nu,184
58,au,496
58,tulpini,374
58,"adevărate,",618
58,"frunze,",680
58,superioare.,615
58,găsește,495
58,sistem,462
58,de,407
58,fel,309
58,nici,248
58,rădăcini,746
58,și,61
58,un,309
58,"vascular,",1267
58,așa,115
58,se,187
58,la,124
58,plantele,493
,,
59,În,681
59,calitate,247
59,de,186
59,"guvernator,",1490
59,a,218
59,urmat,310
59,o,64
59,politică,997
59,atât,217
59,strictă,267
59,numi,1121
59,în,63
59,funcții,432
59,doar,733
59,America.,935
59,colegi,1150
59,"republicani,",585
59,încât,807
59,devenit,492
59,părintele,800
59,sistemului,802
59,sporuri,491
59,din,186
,,
60,Oficialii,2365
60,britanici,749
60,din,186
60,domeniul,671
60,comerțului,664
60,au,185
60,considerat,1529
60,că,545
60,prima,700
60,prioritate,667
60,popularea,1204
60,zonelor,874
60,recent,573
60,securizate,1702
60,Canada,616
60,Florida,682
60,(cu,247
60,referire,568
60,la,333
60,Tratatul,599
60,de,200
60,patria,1245
60,comerț,296
60,facă,807
60,"Paris),",1110
60,unde,126
60,se,733
60,putea,233
60,aștepta,483
60,în,50
60,mod,51
60,rezonabil,780
60,ca,125
60,coloniștii,615
60,să,63
60,cu,186
60,mamă.,870
,,
61,Unele,1356
61,dintre,217
61,aceste,916
61,variații,418
61,se,298
61,referă,250
61,la,1084
61,"comisioane,",968
61,protecția,680
61,împotriva,735
61,descoperirilor,2213
61,curente,1222
61,de,249
61,"cont,",372
61,soldurile,977
61,"minime,",453
61,legăturile,768
61,permise,1291
61,între,371
61,conturi,1016
61,(de,287
61,"exemplu,",649
61,și,283
61,economii),332
61,regulile,604
61,deschidere,1054
61,a,435
61,contului.,185
,,
62,Liniile,1052
62,rigide,495
62,sunt,311
62,adesea,492
62,realizate,890
62,pentru,634
62,a,62
62,fi,51
62,presurizate,1194
62,cu,61
62,azot,311
62,sau,306
62,aer,186
62,"deshidratat,",1908
62,mii,1357
62,generate,1004
62,temperaturile,1369
62,în,122
62,energie,1263
62,wați,535
62,de,166
62,care,307
62,asigură,431
62,un,249
62,dielectric,2767
62,excelent,1454
62,chiar,376
62,și,189
62,la,63
62,ridicate,500
62,special,1306
62,timpul,513
62,căldurii,535
62,intense,482
62,vară,252
62,soarelui.,373
,,
63,Cu,498
63,toate,599
63,"acestea,",650
63,în,218
63,"general,",704
63,este,188
63,necesar,1303
63,să,184
63,se,245
63,aplice,374
63,aceste,433
63,legi,122
63,la,186
63,un,186
63,volum,369
63,de,819
63,control,699
63,"infinitezimal,",1595
63,apoi,371
63,utilizeze,554
63,ecuațiile,836
63,diferențiale,1160
63,rezultate.,493
,,
64,Aceste,1643
64,stiluri,449
64,de,49
64,pachete,803
64,nu,62
64,se,61
64,descurcă,1180
64,bine,310
64,împotriva,463
64,pachetelor,833
64,cu,152
64,orice,166
64,tip,1512
64,dezorganizare,1487
64,sau,267
64,"control,",500
64,așa,183
64,că,101
64,în,166
64,prezent,576
64,văd,251
64,prea,127
64,mult,315
,,
65,Din,334
65,cauza,366
65,faptului,633
65,că,116
65,aparatul,1299
65,său,334
65,de,291
65,împerechere,2113
65,este,50
65,"ghimpat,",714
65,asemănător,987
65,cu,310
65,corpul,545
65,smuls,469
65,acesta,544
65,"muncitor,",797
65,unui,412
65,înțepătura,1517
65,va,300
65,fi,123
65,din,317
65,după,1080
65,"împerechere,",1532
65,iar,488
65,spre,202
65,cădea,782
65,pământ,627
65,singurul,494
65,rezultat,683
65,posibil:,247
65,moartea.,643
,,
66,"Romanii,",1019
66,care,743
66,au,247
66,folosit,553
66,inițial,246
66,acest,392
66,"stil,",666
66,l-au,234
66,considerat,532
66,greoi,328
66,și,334
66,greu,370
66,de,62
66,manevrat,1224
66,pe,187
66,muntoasă,2678
66,terenul,1638
66,accidentat,1641
66,al,608
66,Italiei.,307
66,Pe,65
66,lângă,248
,,
67,Pe,310
67,lângă,434
67,vocabularul,742
67,"nou,",300
67,ar,165
67,trebui,717
67,să,100
67,vă,1110
67,uitați,372
67,și,249
67,la,309
67,modul,248
67,în,494
67,care,601
67,se,101
67,conjugă,699
67,verbele,1169
67,funcție,372
67,de,123
67,subiectul,437
67,propoziției.,370
,,
68,Cu,465
68,dimensiuni,850
68,"variate,",560
68,de,235
68,la,125
68,lacuri,867
68,mari,349
68,și,117
68,văi,368
68,închise,416
68,iazuri,1552
68,îngropată,1711
68,lăsate,2092
68,urmă.,498
68,"miniatură,",849
68,aceste,550
68,depresiuni,1609
68,au,125
68,fost,184
68,gheața,550
68,care,217
68,s-a,233
68,topit,266
68,în,216
68,cele,683
68,din,417
,,
69,Formarea,1031
69,acestui,1235
69,intermediar,1618
69,cea,261
69,reacția,1083
69,în,368
69,"au,",743
69,ulterioară,1053
69,"general,",565
69,o,52
69,barieră,849
69,de,63
69,energie,803
69,directă,545
69,necesară,932
69,decât,706
69,mică,228
69,mult,430
69,activare,1129
69,mai,117
69,pentru,1127
69,transformare,2871
69,a,494
69,reactanților,1537
69,produși.,776
,,
70,Acordurile,2434
70,dvs.,368
70,juridice,617
70,ar,314
70,trebui,315
70,să,217
70,treacă,1351
70,prin,166
70,mai,602
70,multe,867
70,iterații,431
70,în,186
70,procesul,679
70,de,124
70,lizibilitatea,2933
70,simplificând,827
70,fiecare,376
70,"redactare,",804
70,iterație,274
70,termenii,434
70,și,67
70,îmbunătățind,965
70,utilizabilitatea,2597
70,acestora.,995
,,
71,Tot,384
71,ceea,116
71,ce,166
71,studiați,741
71,este,123
71,conceput,743
71,pentru,391
71,a,124
71,vă,184
71,pregăti,370
71,sinteze,501
71,organice,1890
71,și,61
71,alte,1449
71,transformări,2248
71,chimice,483
71,efectuate,1542
71,laborator.,1370
71,rezultatele,994
,,
72,Vă,247
72,va,188
72,duce,306
72,la,58
72,pagina,484
72,care,384
72,corespunde,966
72,cererii,672
72,"dumneavoastră,",1484
72,în,184
72,caz,311
72,contrar,619
72,afișa,1049
72,rezultatele,1238
72,căutării.,805
,,
73,Descrierea,1743
73,configurației,1706
73,relative,551
73,este,532
73,încă,448
73,utilizată,371
73,în,125
73,principal,808
73,glicochimie.,1801
,,
74,Acestea,806
74,transformă,929
,,
75,Acestea,814
75,transformă,883
75,energia,483
75,solară,471
75,în,246
75,energie,679
75,chimică,789
75,prin,1266
75,absorbția,667
75,luminii,496
75,solare,740
75,și,186
75,utilizarea,954
75,acesteia,552
75,pentru,1066
75,a,300
75,stimula,991
75,sinteza,494
75,compușilor,815
75,"organici,",1132
75,cum,217
75,ar,116
75,fi,124
75,"zahărul,",990
75,din,188
75,carbon,497
75,dioxid,562
75,de,61
75,apă.,124
,,
76,Aceasta,1865
76,include,124
76,"predarea,",2234
76,practica,1307
76,generală,993
76,a,1643
76,"medicinei,",550
76,cercetarea,976
