Word,FrequencyScore,totalReadingTime
infiltrarea,0.0,749
însărcinat,3.62,1544
oratorie,0.0,1305
devenit,5.33,367
ofițer,4.77,399
de,7.72,501
cu,7.05,184
politice,5.14,1349
raportarea,3.3,620
către,6.0,247
superiorii,3.27,616
săi,5.14,184
privire,5.07,367
la,7.21,63
activitățile,4.5,555
acestora,5.11,678
,0.0,
În,7.47,1216
aceste,5.63,333
cazuri,4.88,1007
rolul,5.09,369
agentului,3.81,668
de,7.72,229
punere,3.62,1211
în,7.47,124
aplicare,4.36,1046
este,6.93,306
a,7.45,185
furniza,3.84,491
inputurile,0.0,1115
inclusiv,5.33,492
bază,5.21,557
dar,6.46,215
numai,5.69,1813
capitalul,3.91,739
care,6.9,435
va,6.5,167
da,5.62,368
startul,3.85,442
proiectului,4.92,685
și,7.46,232
permite,5.02,560
plecarea,4.35,680
după,6.35,559
impuls,3.9,1152
propriul,4.71,1463
continue,4.42,783
să,7.14,247
acestuia,5.3,742
sub,5.85,250
aplicare,4.36,433
,0.0,
În,7.47,435
general,5.54,1220
le,6.31,100
este,6.93,600
mai,6.99,294
bine,6.02,309
să,7.14,60
își,5.66,123
folosească,4.51,805
Neul,0.0,1914
precum,5.8,450
și,7.46,293
capacitățile,3.73,932
de,7.72,494
ale,6.25,1174
raționament,3.41,934
lui,6.47,1026
Ti,4.91,101
pentru,6.89,800
a,7.45,65
afla,5.16,407
adevărul,4.93,682
decât,5.9,499
se,6.77,62
bazeze,3.52,309
pe,7.06,184
tradițiile,4.16,1049
Si,6.56,399
,0.0,
Este,6.93,248
posibil,5.22,494
ca,6.69,51
unele,5.49,51
părți,4.99,667
să,7.14,547
nu,7.01,186
fie,6.13,187
consumate,3.66,1686
niciodată,5.35,801
iar,6.2,768
altele,5.08,526
sunt,6.6,249
procesate,3.13,862
suplimentare,4.48,1890
mod,5.57,638
în,7.47,124
normal,5.04,599
și,7.46,201
carne,4.77,818
cușer,0.0,682
Statele,5.09,684
Unite,5.09,391
din,7.13,168
cauza,5.47,282
muncii,4.76,499
care,6.9,372
implică,4.59,372
,0.0,
Două,6.0,699
sau,6.41,547
mai,6.99,284
multe,5.93,383
state,4.85,356
nu,7.01,184
vor,6.05,372
încheia,3.97,497
niciun,5.12,557
tratat,4.45,300
confederație,0.0,783
alianță,4.03,699
între,5.94,436
reunit,3.92,743
și,7.46,123
se,6.77,374
ele,5.43,620
fără,5.95,247
consimțământul,3.67,2901
Statelor,4.77,818
Unite,5.09,715
în,7.47,186
Congresul,4.25,1663
specificând,0.0,983
cu,7.05,102
exactitate,3.76,1624
acestuia,5.3,868
durata,4.64,822
încheie,4.51,870
pentru,6.89,1158
scopurile,3.74,1188
care,6.9,538
de,7.72,280
valabilitate,3.14,951
a,7.45,51
,0.0,
Până,6.09,232
la,7.21,384
începutul,5.2,500
secolului,4.83,1137
al,6.63,435
XIXlea,0.0,1011
naturaliștii,0.0,1033
și,7.46,168
oamenii,5.58,794
de,7.72,122
știință,4.78,619
au,6.75,61
observat,4.75,614
cei,5.76,344
proveneau,3.35,593
între,5.94,592
esențiale,4.27,1072
diferențe,4.21,749
compușii,3.15,740
care,6.9,482
din,7.13,218
ființe,4.22,383
vii,5.07,448
nu,7.01,1291
vii,5.07,167
,0.0,
A,7.45,151
avut,5.88,318
un,6.99,525
dosar,4.34,432
de,7.72,165
serviciu,4.94,1555
exemplar,3.98,652
și,7.46,247
a,7.45,125
primit,5.43,574
prestigioasa,3.28,1060
Cruce,4.55,310
Fier,4.61,310
atât,5.86,767
clasa,5.02,335
cât,5.98,701
IIa,0.0,308
obținut,5.04,494
asemenea,5.79,432
gradul,4.72,475
caporal,3.42,334
,0.0,
În,7.47,268
etapa,4.63,414
finală,4.79,812
unul,5.86,123
dintre,6.11,557
hidrogenii,0.0,1113
moleculei,0.0,1429
de,7.72,681
apă,5.49,234
legată,4.55,1198
este,6.93,244
atacat,4.72,554
o,7.11,167
altă,5.43,751
moleculă,3.14,1258
apă,5.49,246
lăsând,4.33,430
un,6.99,668
alcool,4.37,333
,0.0,
Este,6.93,805
important,5.37,435
ca,6.69,310
atunci,5.99,739
când,6.27,316
planificați,0.0,783
o,7.11,101
lecție,4.27,490
de,7.72,183
învățare,4.0,685
mixtă,3.76,554
în,7.47,187
clasele,4.3,433
primare,4.19,1183
vă,6.06,173
să,7.14,115
concentrați,3.61,680
pe,7.06,186
unitate,4.74,309
studiu,4.88,514
apoi,5.76,334
împletiți,0.0,650
cu,7.05,115
tehnologia,4.46,831
,0.0,
Cele,6.14,246
mai,6.99,186
multe,5.93,372
interogări,0.0,927
DNS,3.12,496
cum,6.28,556
fi,6.59,185
cererile,3.94,559
de,7.72,746
rezolvare,3.78,572
a,7.45,284
numelui,4.22,881
utilizează,4.58,672
mică,5.26,646
sarcină,4.32,1123
deoarece,5.45,680
UDP,0.0,757
conexiuni,3.82,1601
cantitatea,4.38,1767
date,5.38,874
transferate,3.87,685
este,6.93,217
iar,6.2,282
stabilirea,4.47,1051
nume,5.32,1481
sesiunii,3.3,1114
ar,6.32,151
introduce,4.26,583
un,6.99,217
trafic,4.39,398
și,7.46,186
o,7.11,123
inutile,3.87,2381
asupra,5.67,764
serverelor,0.0,744
,0.0,
Unii,5.15,851
elevi,4.51,352
consideră,4.98,625
că,6.91,248
ablativul,0.0,685
este,6.93,184
dificil,4.65,434
deoarece,5.45,495
uneori,5.17,494
seamănă,4.34,492
cu,7.05,309
nominativul,0.0,1367
singular,3.66,818
dativul,0.0,370
plural,3.62,310
sau,6.41,309
niciunul,4.26,375
dintre,6.11,308
acestea,5.61,233
sămânța,3.54,233
,0.0,
La,7.21,351
multe,5.93,266
specii,4.45,526
anuale,4.26,681
în,7.47,123
condiții,4.87,678
nefavorabile,3.64,942
de,7.72,168
uscăciune,0.0,483
sau,6.41,215
frig,4.38,117
există,5.67,350
doar,6.14,929
sămânța,3.54,802
,0.0,
Cu,7.05,300
toate,6.05,217
acestea,5.61,415
ploile,3.51,530
abundente,3.77,739
și,7.46,185
persistente,3.38,1590
furtunile,3.31,833
pot,6.07,235
provoca,4.16,663
inundații,3.9,1470
ploi,3.8,735
cauzată,4.11,783
gravă,4.15,1317
înnămolire,0.0,1332
a,7.45,124
solului,4.12,493
precum,5.8,494
eroziune,3.2,1106
de,7.72,311
,0.0,
Pierderea,4.48,1148
în,7.47,101
greutate,4.54,282
necesită,4.55,434
ca,6.69,116
aportul,3.78,481
de,7.72,1049
calorii,3.38,496
să,7.14,51
fie,6.13,116
mai,6.99,125
mic,5.33,495
decât,5.9,184
producția,4.73,522
calorii,3.38,961
deși,5.55,248
niciuna,4.03,310
dintre,6.11,310
acestea,5.61,185
nu,7.01,61
trebuie,6.15,725
făcută,4.73,350
la,7.21,51
extrem,4.88,283
,0.0,
Printre,5.5,642
aceste,5.63,744
tehnologii,4.28,866
se,6.77,249
număra,3.8,1495
fisiunea,0.0,1700
nucleară,4.01,1266
care,6.9,249
constă,4.65,382
în,7.47,215
divizarea,3.32,1060
unui,5.99,497
zece,5.0,887
atom,3.57,1090
foarte,6.14,367
electronegativ,0.0,4049
atomi,3.36,368
mai,6.99,402
mici,5.35,415
și,7.46,125
produce,4.88,682
energie,4.91,679
de,7.72,284
ori,5.64,499
mare,6.17,595
,0.0,
Majoritatea,5.22,1753
algelor,0.0,1134
marine,3.96,317
cum,6.28,126
ar,6.32,310
fi,6.59,61
kelps,0.0,990
alge,3.54,184
brune,3.01,370
foarte,6.14,755
mari,5.64,152
din,7.13,249
ordinul,4.85,599
superficiale,3.56,796
unei,5.96,949
ciuda,4.85,623
Laminariales,0.0,1934
în,7.47,126
aparențe,3.11,1360
nu,7.01,184
au,6.75,496
tulpini,3.5,374
adevărate,4.34,618
frunze,4.44,680
superioare,4.59,615
găsește,4.92,495
sistem,5.25,462
de,7.72,407
fel,5.75,309
nici,6.01,248
rădăcini,4.09,746
și,7.46,61
un,6.99,309
vascular,3.75,1267
așa,6.04,115
se,6.77,187
la,7.21,124
plantele,4.1,493
,0.0,
În,7.47,681
calitate,5.07,247
de,7.72,186
guvernator,4.19,1490
a,7.45,218
urmat,4.97,310
o,7.11,64
politică,5.27,997
atât,5.86,217
strictă,3.82,267
numi,4.29,1121
în,7.47,63
funcții,4.78,432
doar,6.14,733
America,4.92,935
colegi,4.2,1150
republicani,3.33,585
încât,5.13,807
devenit,5.33,492
părintele,4.45,800
sistemului,4.96,802
sporuri,0.0,491
din,7.13,186
,0.0,
Oficialii,3.97,2365
britanici,4.01,749
din,7.13,186
domeniul,5.22,671
comerțului,4.42,664
au,6.75,185
considerat,4.9,1529
că,6.91,545
prima,5.81,700
prioritate,4.01,667
popularea,0.0,1204
zonelor,4.11,874
recent,4.7,573
securizate,3.08,1702
Canada,4.47,616
Florida,4.3,682
cu,7.05,247
referire,4.54,568
la,7.21,333
Tratatul,4.18,599
de,7.72,200
patria,4.14,1245
comerț,4.55,296
facă,5.51,807
Paris,4.87,1110
unde,5.97,126
se,6.77,733
putea,5.91,233
aștepta,4.54,483
în,7.47,50
mod,5.57,51
rezonabil,3.96,780
ca,6.69,125
coloniștii,3.19,615
să,7.14,63
cu,7.05,186
mamă,4.82,870
,0.0,
Unele,5.49,1356
dintre,6.11,217
aceste,5.63,916
variații,3.68,418
se,6.77,298
referă,4.69,250
la,7.21,1084
comisioane,3.46,968
protecția,4.57,680
împotriva,5.5,735
descoperirilor,3.31,2213
curente,4.16,1222
de,7.72,249
cont,4.78,372
